Period,Advance from Customers(in Cr),Cash Equivalents(in Cr),Direct taxes(in Cr),Dividends paid(in Cr),Employee Cost %(in %),Exceptional CF items(in Cr),Financial liabilities(in Cr),Fixed assets purchased(in Cr),Fixed assets sold(in Cr),Inter corporate deposits(in Cr),Interest paid fin(in Cr),Interest received(in Cr),Inventories(in Cr),Inventory(in Cr),Investments purchased(in Cr),Investments sold(in Cr),Lease Liabilities(in Cr),Loans n Advances(in Cr),Long term Borrowings(in Cr),Manufacturing Cost %(in %),Material Cost %(in %),Other Borrowings(in Cr),Other Cost %(in %),Other WC items(in Cr),Other asset items(in Cr),Other financing items(in Cr),Other investing items(in Cr),Other liability items(in Cr),Payables(in Cr),Profit from operations(in Cr),Receivables(in Cr),Trade Payables(in Cr),Trade receivables(in Cr),Working capital changes(in Cr)
FY2015,5.0,254.0,-206.0,-339.0,6.52,0.0,0.0,-300.0,1.0,0.0,0.0,26.0,252.0,-26.0,0.0,0.0,0.0,26.0,0.0,4.34,36.86,0.0,31.62,0.0,140.0,-46.0,1.0,412.0,53.0,839.0,-22.0,514.0,70.0,5.0
FY2016,6.0,289.0,-252.0,-299.0,6.81,-31.0,0.0,-273.0,1.0,1.0,0.0,25.0,292.0,-39.0,0.0,7.0,0.0,41.0,0.0,4.97,38.16,0.0,25.77,84.0,163.0,-93.0,2.0,414.0,0.0,957.0,-29.0,552.0,102.0,16.0
FY2017,9.0,294.0,-301.0,-272.0,7.27,0.0,0.0,-321.0,0.0,-51.0,0.0,28.0,293.0,-1.0,0.0,0.0,0.0,31.0,0.0,5.3,37.08,0.0,26.66,59.0,257.0,-69.0,2.0,430.0,0.0,958.0,-27.0,597.0,130.0,31.0
FY2018,10.0,456.0,-347.0,-299.0,7.33,0.0,0.0,-209.0,0.0,-27.0,0.0,27.0,227.0,66.0,0.0,0.0,0.0,24.0,0.0,5.35,35.55,0.0,25.18,-155.0,321.0,-81.0,2.0,409.0,0.0,1130.0,0.0,620.0,201.0,-89.0
FY2019,4.0,399.0,-414.0,-646.0,6.65,0.0,-12.0,-139.0,35.0,-23.0,0.0,29.0,249.0,-22.0,0.0,0.0,0.0,28.0,77.71,5.56,34.93,5.43,25.16,171.0,320.0,-156.0,2.0,479.0,0.0,1248.0,0.0,613.0,210.0,149.0
FY2020,17.0,421.0,-321.0,-731.0,7.38,0.0,-40.0,-60.0,0.0,0.0,0.0,26.0,297.0,-48.0,0.0,13.0,101.49,32.0,0.0,5.87,34.76,0.01,25.43,85.0,390.0,-120.0,2.0,279.0,0.0,1215.0,0.0,613.0,133.0,36.0
FY2021,17.0,868.0,-358.0,-921.0,7.59,0.0,-25.0,-58.0,0.0,0.0,0.0,20.0,336.0,-39.0,0.0,106.0,91.18,32.0,0.0,5.12,32.0,0.0,24.09,-344.0,313.0,-10.0,2.0,859.0,0.0,1525.0,0.0,760.0,117.0,-383.0
FY2022,9.0,755.0,-370.0,-1057.0,7.58,0.0,-22.0,-50.0,0.0,0.0,0.0,21.0,357.0,-21.0,-100.0,19.0,83.05,30.0,0.0,5.11,32.7,0.0,23.9,436.0,451.0,-11.0,2.0,304.0,0.0,1581.0,0.0,771.0,225.0,415.0
FY2023,8.0,923.0,-381.0,-1057.0,7.25,0.0,-19.0,-70.0,1.0,0.0,0.0,37.0,335.0,22.0,0.0,22.0,68.96,40.0,0.0,5.23,34.33,0.0,23.59,-19.0,451.0,-10.0,2.0,328.0,0.0,1555.0,0.0,761.0,157.0,2.0
FY2024,12.0,1374.0,-469.0,-1167.0,7.25,0.0,-14.0,-76.0,0.0,0.0,-5.0,69.0,296.0,39.0,0.0,0.0,71.75,54.0,0.0,5.11,30.33,0.0,23.85,-266.0,400.0,-9.0,85.0,357.0,0.0,1895.0,0.0,882.0,167.0,-227.0
FY2025,9.0,1095.0,-562.0,-1626.0,7.4,0.0,-13.0,-71.0,0.0,0.0,-4.0,70.0,377.0,-81.0,0.0,0.0,60.84,52.0,0.0,5.39,30.1,0.0,24.69,-1.0,453.0,-28.0,57.0,364.0,0.0,2038.0,0.0,921.0,226.0,-81.0
FY2026,,1469.0,-456.0,-1387.0,7.87,0.0,-19.0,-76.0,0.0,0.0,0.0,58.0,376.0,1.0,0.0,389.0,47.41,27.0,0.0,0.0,30.44,,30.71,378.0,581.0,-16.0,3.0,391.0,0.0,1884.0,0.0,1386.0,209.0,379.0
