Period,Acquisition of companies(in Cr),Advance from Customers(in Cr),Cash Equivalents(in Cr),Direct taxes(in Cr),Dividends paid(in Cr),Employee Cost %(in %),Financial liabilities(in Cr),Fixed assets purchased(in Cr),Fixed assets sold(in Cr),Interest paid fin(in Cr),Interest received(in Cr),Inventories(in Cr),Inventory(in Cr),Investments purchased(in Cr),Investments sold(in Cr),Lease Liabilities(in Cr),Loans n Advances(in Cr),Loans to subsidiaries(in Cr),Long term Borrowings(in Cr),Manufacturing Cost %(in %),Material Cost %(in %),Other Borrowings(in Cr),Other Cost %(in %),Other WC items(in Cr),Other asset items(in Cr),Other financing items(in Cr),Other investing items(in Cr),Other liability items(in Cr),Payables(in Cr),Proceeds from borrowings(in Cr),Proceeds from shares(in Cr),Profit from operations(in Cr),Receivables(in Cr),Repayment of borrowings(in Cr),Short term Borrowings(in Cr),Trade Payables(in Cr),Trade receivables(in Cr),Working capital changes(in Cr)
FY2015,0.0,7.0,124.0,-204.0,-395.0,7.0,0.0,-111.0,15.0,-5.0,85.0,551.0,8.0,-6259.0,5655.0,0.0,33.0,0.0,0.0,15.0,39.0,0.0,21.0,0.0,170.0,-67.0,3.0,460.0,86.0,87.0,46.0,993.0,-43.0,-2.0,129.0,757.0,339.0,50.0
FY2016,0.0,7.0,56.0,-261.0,-351.0,8.0,0.0,-107.0,9.0,-3.0,139.0,616.0,-65.0,-7136.0,6597.0,0.0,18.0,0.0,1.0,14.0,40.0,0.0,17.0,0.0,86.0,-72.0,3.0,310.0,204.0,0.0,17.0,1160.0,-79.0,-46.0,87.0,931.0,421.0,61.0
FY2017,0.0,12.0,26.0,-274.0,-396.0,8.0,0.0,-411.0,3.0,-10.0,172.0,599.0,16.0,-8721.0,8275.0,0.0,23.0,0.0,201.0,15.0,40.0,0.0,16.0,-25.0,160.0,-81.0,3.0,349.0,-24.0,200.0,15.0,1147.0,87.0,-1.0,83.0,915.0,333.0,55.0
FY2018,0.0,13.0,87.0,-301.0,-396.0,8.0,0.0,-111.0,12.0,-18.0,221.0,705.0,-106.0,-8701.0,8317.0,0.0,16.0,0.0,201.0,15.0,39.0,0.0,16.0,-90.0,193.0,-81.0,1.0,326.0,32.0,0.0,0.0,1271.0,11.0,-2.0,85.0,961.0,321.0,-153.0
FY2019,0.0,20.0,125.0,-320.0,-1325.0,9.0,0.0,-125.0,4.0,-26.0,220.0,733.0,-28.0,-5393.0,5710.0,0.0,26.0,0.0,26.0,14.0,40.0,175.0,15.0,68.0,244.0,-272.0,1.0,282.0,38.0,3.0,0.0,1478.0,-112.0,0.0,109.0,998.0,431.0,-35.0
FY2020,0.0,22.0,526.0,-269.0,-512.0,9.0,-11.0,-265.0,12.0,-18.0,226.0,809.0,-76.0,-8124.0,7819.0,0.0,33.0,0.0,25.0,15.0,39.0,37.0,15.0,-52.0,646.0,-105.0,1.0,321.0,33.0,0.0,0.0,1465.0,54.0,-179.0,89.0,1032.0,380.0,-41.0
FY2021,0.0,41.0,835.0,-275.0,-592.0,9.0,-12.0,-250.0,2.0,-9.0,231.0,1114.0,-305.0,-7277.0,6172.0,28.0,27.0,0.0,0.0,13.0,40.0,0.0,16.0,96.0,361.0,0.0,1.0,411.0,449.0,83.0,0.0,1644.0,94.0,-25.0,152.0,1481.0,281.0,335.0
FY2022,-0.0,27.0,136.0,-328.0,-972.0,8.0,-13.0,-297.0,2.0,-13.0,320.0,1238.0,-124.0,-6241.0,5533.0,49.0,46.0,0.0,249.0,14.0,42.0,0.0,15.0,34.0,183.0,0.0,1.0,559.0,101.0,363.0,0.0,1813.0,-176.0,0.0,262.0,1581.0,455.0,-165.0
FY2023,-481.0,23.0,33.0,-432.0,-921.0,8.0,-19.0,-410.0,21.0,-46.0,335.0,1224.0,14.0,-3965.0,3946.0,58.0,21.0,-64.0,249.0,15.0,43.0,0.0,14.0,43.0,266.0,0.0,1.0,608.0,238.0,46.0,0.0,1813.0,-114.0,0.0,308.0,1819.0,561.0,181.0
FY2024,0.0,30.0,71.0,-390.0,-966.0,9.0,-32.0,-457.0,1.0,-64.0,317.0,1150.0,74.0,-4229.0,3618.0,78.0,51.0,0.0,499.0,14.0,42.0,0.0,15.0,-67.0,331.0,0.0,14.0,753.0,240.0,392.0,0.0,1954.0,-158.0,-251.0,199.0,2059.0,719.0,89.0
FY2025,0.0,9.0,133.0,-328.0,-975.0,9.0,-18.0,-352.0,2.0,-105.0,298.0,1288.0,-138.0,-5403.0,5344.0,94.0,48.0,0.0,249.0,14.0,43.0,0.0,16.0,-88.0,405.0,0.0,13.0,853.0,282.0,38.0,0.0,1779.0,115.0,-451.0,35.0,2342.0,601.0,172.0
FY2026,0.0,,22.0,-319.0,-1419.0,9.0,-23.0,-257.0,19.0,-82.0,175.0,1365.0,-77.0,0.0,0.0,95.0,45.0,13.0,0.0,0.0,54.0,,18.0,-65.0,460.0,0.0,-553.0,1009.0,282.0,369.0,0.0,1926.0,138.0,-138.0,516.0,2625.0,473.0,278.0
