Period,Acquisition of companies(in Cr),Advance from Customers(in Cr),Cash Equivalents(in Cr),Direct taxes(in Cr),Dividends paid(in Cr),Dividends received(in Cr),Employee Cost %(in %),Financial liabilities(in Cr),Fixed assets purchased(in Cr),Fixed assets sold(in Cr),Interest paid fin(in Cr),Interest received(in Cr),Inventories(in Cr),Inventory(in Cr),Invest in subsidiaries(in Cr),Investments purchased(in Cr),Investments sold(in Cr),Lease Liabilities(in Cr),Loans Advances(in Cr),Loans n Advances(in Cr),Manufacturing Cost %(in %),Material Cost %(in %),Operating investments(in Cr),Other Borrowings(in Cr),Other Cost %(in %),Other WC items(in Cr),Other asset items(in Cr),Other financing items(in Cr),Other investing items(in Cr),Other liability items(in Cr),Payables(in Cr),Proceeds from borrowings(in Cr),Proceeds from shares(in Cr),Profit from operations(in Cr),Receivables(in Cr),Redemp n Canc of Shares(in Cr),Redemption of debentures(in Cr),Repayment of borrowings(in Cr),Short term Borrowings(in Cr),Trade Payables(in Cr),Trade receivables(in Cr),Working capital changes(in Cr)
FY2015,0.0,6.0,495.0,-180.0,-179.0,0.0,5.85,0.0,-105.0,0.0,-48.0,19.0,490.0,6.0,-86.0,-40.0,0.0,0.0,7.0,-0.0,6.07,45.44,0.0,261.0,23.63,100.0,255.0,-33.0,-243.0,466.0,0.0,0.0,0.0,856.0,-7.0,0.0,-50.0,0.0,0.0,806.0,143.0,107.0
FY2016,0.0,7.0,156.0,-200.0,-187.0,0.0,7.28,0.0,-93.0,1.0,-41.0,27.0,556.0,-75.0,-274.0,0.0,103.0,0.0,1.0,-0.0,6.17,43.8,0.0,0.0,20.84,-93.0,229.0,-35.0,137.0,481.0,0.0,0.0,0.0,1014.0,-134.0,0.0,-278.0,0.0,3.0,851.0,277.0,-301.0
FY2017,0.0,7.0,98.0,-235.0,-196.0,0.0,6.3,0.0,-105.0,2.0,-32.0,21.0,562.0,-3.0,-359.0,-549.0,0.0,0.0,-1.0,-1.0,5.54,43.12,0.0,0.0,21.11,-73.0,316.0,106.0,-50.0,512.0,277.0,0.0,0.0,1147.0,65.0,32.0,0.0,0.0,149.0,1120.0,209.0,265.0
FY2018,0.0,24.0,98.0,-282.0,-613.0,0.0,6.76,0.0,-119.0,6.0,-47.0,40.0,576.0,-27.0,-157.0,-309.0,328.0,0.0,-1.0,-1.0,5.31,41.41,0.0,0.0,21.23,-108.0,433.0,-274.0,-92.0,506.0,331.0,0.0,0.0,1362.0,-40.0,0.0,0.0,0.0,0.0,1453.0,249.0,155.0
FY2019,0.0,13.0,97.0,-324.0,-1227.0,0.0,6.19,0.0,-82.0,1.0,-69.0,66.0,615.0,-38.0,0.0,0.0,189.0,0.0,-1.0,-1.0,5.39,40.73,0.0,0.0,21.06,15.0,799.0,-253.0,284.0,268.0,0.0,50.0,0.0,1535.0,-106.0,2.0,0.0,-50.0,0.0,1458.0,353.0,-129.0
FY2020,-10.0,21.0,86.0,-262.0,-818.0,1.0,5.83,-11.0,-85.0,0.0,-65.0,38.0,658.0,-47.0,0.0,0.0,267.0,0.0,-2.0,-0.0,5.95,41.03,0.0,326.0,20.74,-315.0,897.0,-168.0,-401.0,223.0,0.0,342.0,0.0,1490.0,55.0,0.0,0.0,-25.0,0.0,1243.0,306.0,-309.0
FY2021,-981.0,23.0,84.0,-298.0,0.0,0.0,6.67,-11.0,-66.0,1.0,-28.0,45.0,703.0,-65.0,0.0,-125.0,35.0,43.0,0.0,-1.0,5.03,43.32,0.0,0.0,18.55,176.0,666.0,0.0,72.0,467.0,-200.0,0.0,0.0,1717.0,43.0,0.0,0.0,-317.0,0.0,802.0,247.0,-45.0
FY2022,0.0,20.0,345.0,-312.0,0.0,0.0,5.0,-12.0,-161.0,5.0,-8.0,28.0,791.0,-78.0,-502.0,-416.0,0.0,31.0,0.0,-0.0,4.97,48.8,0.0,0.0,16.36,-30.0,740.0,0.0,-0.0,355.0,-285.0,0.0,0.0,1753.0,-86.0,79.0,0.0,-0.0,0.0,625.0,337.0,-480.0
FY2023,-699.0,21.0,50.0,-330.0,0.0,0.0,4.85,-12.0,-165.0,2.0,-3.0,49.0,592.0,214.0,0.0,-1192.0,0.0,42.0,0.0,-1.0,4.65,48.62,0.0,0.0,17.5,80.0,643.0,0.0,-0.0,377.0,109.0,24.0,0.0,1892.0,12.0,0.0,0.0,0.0,24.0,711.0,321.0,415.0
FY2024,-244.0,24.0,244.0,-276.0,-511.0,235.0,5.93,-71.0,-190.0,6.0,-128.0,128.0,647.0,-16.0,0.0,-1006.0,778.0,29.0,0.0,-1.0,4.36,41.96,0.0,0.0,21.1,-56.0,457.0,0.0,-2716.0,530.0,91.0,1950.0,0.0,2184.0,-104.0,31.0,0.0,0.0,1980.0,873.0,491.0,-85.0
FY2025,-6.0,24.0,152.0,-302.0,-2557.0,0.0,5.32,-15.0,-486.0,22.0,-184.0,139.0,697.0,-61.0,0.0,-67.0,463.0,68.0,-11.0,-1.0,4.21,45.23,0.0,0.0,21.67,16.0,515.0,0.0,11.0,1008.0,448.0,591.0,0.0,2137.0,-113.0,0.0,0.0,0.0,2578.0,1318.0,596.0,279.0
FY2026,0.0,,91.0,-385.0,-2046.0,13.0,5.71,-28.0,-442.0,10.0,-198.0,193.0,677.0,25.0,-752.0,-97.0,876.0,147.0,-45.0,98.0,0.0,48.39,0.0,,22.29,43.0,437.0,0.0,-278.0,1319.0,-73.0,220.0,0.0,2198.0,27.0,676.0,0.0,0.0,2800.0,1253.0,578.0,-23.0
