Period,Acquisition of companies(in Cr),Advance from Customers(in Cr),Cash Equivalents(in Cr),Direct taxes(in Cr),Dividends paid(in Cr),Dividends received(in Cr),Employee Cost %(in %),Financial liabilities(in Cr),Fixed assets purchased(in Cr),Fixed assets sold(in Cr),Interest paid fin(in Cr),Interest received(in Cr),Inventories(in Cr),Inventory(in Cr),Invest in subsidiaries(in Cr),Investments purchased(in Cr),Investments sold(in Cr),Lease Liabilities(in Cr),Loans Advances(in Cr),Loans n Advances(in Cr),Loans to subsidiaries(in Cr),Manufacturing Cost %(in %),Material Cost %(in %),Other Cost %(in %),Other WC items(in Cr),Other asset items(in Cr),Other financing items(in Cr),Other investing items(in Cr),Other liability items(in Cr),Other operating items(in Cr),Payables(in Cr),Proceeds from shares(in Cr),Profit from operations(in Cr),Receivables(in Cr),Redemp n Canc of Shares(in Cr),Trade Payables(in Cr),Trade receivables(in Cr),Working capital changes(in Cr)
FY2015,0.0,43.0,2538.0,-1772.0,-2912.0,118.0,5.13,0.0,-527.0,553.0,-17.0,225.0,2603.0,145.0,-40.0,-17458.0,17576.0,0.0,-100.0,0.0,-76.0,10.87,42.82,24.29,81.0,1496.0,-524.0,-274.0,4577.0,-5.0,-373.0,2.0,5265.0,31.0,182.0,5289.0,783.0,-216.0
FY2016,-15.0,40.0,2759.0,-1696.0,-3342.0,166.0,5.06,0.0,-756.0,82.0,0.0,324.0,2528.0,74.0,0.0,-18907.0,19236.0,0.0,0.0,0.0,-35.0,9.96,41.64,24.83,-74.0,1489.0,-666.0,-307.0,2103.0,-8.0,166.0,0.0,5791.0,-279.0,161.0,5498.0,1064.0,-113.0
FY2017,0.0,70.0,1671.0,-1783.0,-3561.0,178.0,5.08,0.0,-1024.0,172.0,0.0,266.0,2362.0,38.0,0.0,-26230.0,25260.0,0.0,-46.0,70.0,-84.0,9.5,41.77,24.69,-93.0,1714.0,-703.0,690.0,2185.0,-21.0,508.0,0.0,6219.0,131.0,20.0,6006.0,928.0,538.0
FY2018,0.0,55.0,3373.0,-2188.0,-3896.0,190.0,5.05,0.0,-853.0,26.0,0.0,229.0,2359.0,-162.0,0.0,-47755.0,48534.0,0.0,0.0,83.0,-183.0,9.32,39.94,24.62,1026.0,2504.0,-755.0,-1522.0,3006.0,0.0,0.0,0.0,7237.0,0.0,73.0,7013.0,1147.0,864.0
FY2019,0.0,39.0,3688.0,-2685.0,-4546.0,103.0,4.57,0.0,-728.0,4.0,-3.0,308.0,2422.0,-195.0,0.0,-70434.0,70761.0,0.0,0.0,48.0,-248.0,8.6,40.4,23.84,-66.0,2369.0,-913.0,-30.0,3097.0,0.0,0.0,0.0,8674.0,0.0,0.0,7070.0,1673.0,-261.0
FY2020,0.0,154.0,5017.0,-2465.0,-5196.0,96.0,4.36,-352.0,-765.0,52.0,-80.0,359.0,2636.0,-369.0,0.0,-34074.0,35656.0,0.0,0.0,48.0,-292.0,8.05,39.34,23.5,666.0,3786.0,-1048.0,894.0,4018.0,0.0,0.0,0.0,9473.0,0.0,0.0,7399.0,1046.0,297.0
FY2021,0.0,93.0,4321.0,-2367.0,-8811.0,102.0,4.85,-383.0,-4051.0,97.0,-86.0,285.0,3383.0,-472.0,-60.0,-38450.0,37076.0,943.0,0.0,136.0,-180.0,6.85,42.16,21.52,416.0,3983.0,0.0,4114.0,11019.0,0.0,0.0,0.0,11380.0,0.0,0.0,8627.0,1648.0,-56.0
FY2022,0.0,113.0,3618.0,-2720.0,-7519.0,131.0,4.69,-388.0,-919.0,175.0,-77.0,171.0,3890.0,-737.0,-300.0,-47928.0,47173.0,971.0,0.0,203.0,-436.0,7.04,43.71,20.13,-52.0,4037.0,0.0,201.0,11029.0,0.0,0.0,0.0,12473.0,0.0,0.0,8864.0,1932.0,-789.0
FY2023,0.0,86.0,4422.0,-3068.0,-8459.0,118.0,4.51,-431.0,-1041.0,180.0,-76.0,273.0,4031.0,-332.0,-264.0,-22631.0,23363.0,1039.0,0.0,230.0,-493.0,6.81,47.32,18.31,-531.0,4188.0,0.0,-567.0,11088.0,0.0,0.0,0.0,13557.0,0.0,0.0,9391.0,2735.0,-863.0
FY2024,0.0,89.0,7216.0,-295.0,-9398.0,176.0,4.6,-394.0,-1318.0,20.0,-98.0,417.0,3812.0,77.0,0.0,-21198.0,19752.0,1374.0,0.0,207.0,-431.0,6.08,43.97,21.88,1059.0,4364.0,0.0,-2389.0,14492.0,0.0,0.0,0.0,14043.0,0.0,0.0,10148.0,2690.0,1136.0
FY2025,0.0,0.0,7293.0,-2183.0,-12453.0,169.0,4.55,-460.0,-1149.0,13.0,-118.0,768.0,4161.0,-540.0,-5.0,-20943.0,21984.0,1537.0,0.0,593.0,-362.0,6.45,44.18,21.12,-14.0,4351.0,0.0,6288.0,16625.0,0.0,0.0,0.0,14343.0,0.0,0.0,10998.0,3450.0,-554.0
FY2026,0.0,0.0,2830.0,-4726.0,-10103.0,230.0,4.59,-464.0,-1274.0,29.0,-117.0,431.0,4383.0,-630.0,-3530.0,-23058.0,22609.0,1325.0,0.0,968.0,-171.0,5.56,45.97,20.55,1314.0,4633.0,0.0,963.0,14521.0,0.0,0.0,0.0,14538.0,0.0,298.0,12913.0,3037.0,684.0
