Period,Borrowings(in Cr),CWIP(in Cr),Equity Capital(in Cr),Fixed Assets(in Cr),Investments(in Cr),Other Assets(in Cr),Other Liabilities(in Cr),Reserves(in Cr),Total Assets(in Cr),Total Liabilities(in Cr)
FY2015,271.0,2.0,64.0,482.0,1335.0,1412.0,617.0,2278.0,3231.0,3231.0
FY2016,204.0,37.0,129.0,460.0,1595.0,1347.0,696.0,2409.0,3439.0,3439.0
FY2017,108.0,8.0,129.0,519.0,1664.0,1571.0,730.0,2795.0,3763.0,3763.0
FY2018,122.0,25.0,129.0,509.0,1507.0,1979.0,857.0,2912.0,4020.0,4020.0
FY2019,131.0,42.0,129.0,643.0,1440.0,2633.0,1138.0,3360.0,4758.0,4758.0
FY2020,110.0,55.0,129.0,701.0,1093.0,2287.0,1138.0,2759.0,4136.0,4136.0
FY2021,269.0,14.0,129.0,669.0,1343.0,2456.0,1178.0,2906.0,4482.0,4482.0
FY2022,199.0,27.0,129.0,667.0,1372.0,2430.0,1248.0,2920.0,4496.0,4496.0
FY2023,166.0,32.0,129.0,704.0,1825.0,2528.0,1246.0,3548.0,5089.0,5089.0
FY2024,230.0,38.0,129.0,736.0,1617.0,2574.0,1138.0,3468.0,4965.0,4965.0
FY2025,271.0,33.0,129.0,770.0,2687.0,2548.0,1004.0,4634.0,6038.0,6038.0
FY2026,180.0,78.0,130.0,946.0,3716.0,2879.0,1631.0,5678.0,7619.0,7619.0
