Period,Acquisition of companies(in Cr),Advance from Customers(in Cr),Cash Equivalents(in Cr),Direct taxes(in Cr),Dividends paid(in Cr),Dividends received(in Cr),Employee Cost %(in %),Financial liabilities(in Cr),Fixed assets purchased(in Cr),Fixed assets sold(in Cr),Interest paid fin(in Cr),Interest received(in Cr),Inventories(in Cr),Inventory(in Cr),Investment subsidy(in Cr),Investments purchased(in Cr),Investments sold(in Cr),Lease Liabilities(in Cr),Loans Advances(in Cr),Loans n Advances(in Cr),Long term Borrowings(in Cr),Manufacturing Cost %(in %),Material Cost %(in %),Operating borrowings(in Cr),Other Cost %(in %),Other WC items(in Cr),Other asset items(in Cr),Other financing items(in Cr),Other investing items(in Cr),Other liability items(in Cr),Payables(in Cr),Proceeds from borrowings(in Cr),Profit from operations(in Cr),Receivables(in Cr),Repayment of borrowings(in Cr),Short term Borrowings(in Cr),Trade Payables(in Cr),Trade receivables(in Cr),Working capital changes(in Cr)
FY2015,0.0,103.0,500.0,-342.0,-410.0,12.0,11.16,0.0,-151.0,1.0,-3.0,99.0,821.0,23.0,0.0,-37.0,0.0,0.0,-3.0,61.0,17.0,11.51,35.72,2.0,22.58,210.0,173.0,-82.0,6.0,2398.0,79.0,0.0,1109.0,21.0,-3.0,1.0,749.0,78.0,332.0
FY2016,0.0,25.0,880.0,-503.0,-564.0,13.0,9.86,0.0,-207.0,94.0,-4.0,126.0,940.0,-119.0,0.0,-153.0,0.0,0.0,0.0,21.0,33.0,11.85,35.22,0.0,22.83,293.0,197.0,-98.0,1.0,2671.0,50.0,0.0,1765.0,-19.0,0.0,0.0,799.0,98.0,204.0
FY2017,0.0,17.0,1457.0,-604.0,-829.0,16.0,10.16,0.0,-199.0,3.0,-1.0,154.0,902.0,38.0,0.0,-112.0,0.0,0.0,0.0,43.0,35.0,11.85,36.14,0.0,20.9,144.0,182.0,-167.0,7.0,2905.0,185.0,0.0,2047.0,8.0,0.0,0.0,985.0,89.0,375.0
FY2018,0.0,41.0,1610.0,-881.0,-1090.0,19.0,9.96,0.0,-166.0,3.0,-4.0,237.0,966.0,-63.0,0.0,-160.0,0.0,0.0,0.0,48.0,35.0,11.46,33.86,0.0,21.55,255.0,175.0,-224.0,15.0,3098.0,257.0,0.0,2521.0,-36.0,0.0,0.0,1240.0,125.0,413.0
FY2019,0.0,37.0,1308.0,-673.0,-2950.0,13.0,10.17,0.0,-155.0,2.0,-63.0,238.0,1283.0,-318.0,0.0,-16.0,0.0,136.0,0.0,35.0,53.0,11.07,35.38,0.0,19.72,227.0,186.0,-588.0,0.0,3537.0,253.0,0.0,2805.0,-0.0,0.0,0.0,1492.0,124.0,163.0
FY2020,0.0,53.0,1770.0,-703.0,-1890.0,2.0,11.24,0.0,-478.0,4.0,-69.0,148.0,1416.0,-133.0,0.0,0.0,0.0,113.0,0.0,47.0,32.0,10.14,36.2,0.0,18.44,249.0,219.0,3.0,3.0,4164.0,23.0,0.0,3061.0,-42.0,0.0,3.0,1517.0,165.0,97.0
FY2021,0.0,69.0,735.0,-729.0,-1928.0,0.0,10.38,-79.0,-735.0,4.0,-9.0,125.0,1593.0,-169.0,0.0,0.0,0.0,232.0,-40.0,93.0,27.0,11.92,35.51,0.0,18.03,-179.0,1632.0,-3.0,-1314.0,4204.0,217.0,24.0,3136.0,-2.0,-24.0,7.0,1748.0,166.0,-172.0
FY2022,0.0,114.0,946.0,-841.0,-2025.0,0.0,9.68,-73.0,-550.0,9.0,-18.0,103.0,1929.0,-336.0,0.0,0.0,25.0,240.0,-30.0,68.0,27.0,12.88,37.94,0.0,17.57,185.0,1665.0,-7.0,20.0,4014.0,178.0,0.0,3609.0,-28.0,0.0,3.0,2121.0,192.0,-30.0
FY2023,0.0,,946.0,-1059.0,-2333.0,0.0,9.67,-166.0,-1371.0,7.0,-20.0,0.0,1929.0,56.0,0.0,0.0,312.0,240.0,-30.0,66.0,27.0,0.0,44.09,0.0,22.87,-19.0,1667.0,83.0,126.0,4128.0,68.0,0.0,4388.0,-11.0,0.0,3.0,2121.0,192.0,63.0
FY2024,0.0,16.0,779.0,-1299.0,-3008.0,0.0,9.58,-100.0,-1883.0,4.0,-26.0,167.0,2089.0,-161.0,0.0,0.0,284.0,313.0,-21.0,76.0,25.0,10.7,37.53,0.0,18.24,-268.0,1613.0,-1.0,190.0,4010.0,310.0,0.0,5722.0,-109.0,0.0,6.0,2812.0,300.0,-249.0
FY2025,-706.0,27.0,96.0,-990.0,-2459.0,0.0,10.21,-76.0,-2009.0,4.0,-34.0,76.0,2850.0,-767.0,0.0,0.0,424.0,414.0,-199.0,81.0,22.0,10.51,37.16,0.0,18.5,155.0,1582.0,-4.0,400.0,4389.0,134.0,726.0,4672.0,-70.0,0.0,731.0,2624.0,363.0,-747.0
FY2026,0.0,103.0,1341.0,-1071.0,-2314.0,0.0,9.84,-86.0,-830.0,3.0,-50.0,34.0,2569.0,281.0,0.0,0.0,0.0,420.0,-73.0,100.0,20.0,10.38,38.63,0.0,18.23,-37.0,1515.0,-3.0,168.0,4341.0,588.0,0.0,5326.0,34.0,-726.0,4.0,3160.0,329.0,793.0
